Timestamp,PWM_Left,PWM_Right,Serial_Data
1738026247.0300422,150,150,167.79 | 167.79
1738026247.0463867,150,150,167.79 | 167.79
1738026247.0467246,150,150,167.79 | 167.79
1738026247.0632432,150,150,167.79 | 167.79
1738026247.063747,150,150,167.79 | 167.79
1738026247.0798771,150,150,167.79 | 167.79
1738026247.0803175,150,150,167.79 | 167.79
1738026247.0971801,150,150,170.07 | 204.08
1738026247.0975695,150,150,170.07 | 204.08
1738026247.1133165,150,150,170.07 | 204.08
1738026247.1137855,150,150,170.07 | 204.08
1738026247.1301498,150,150,170.07 | 204.08
1738026247.1305683,150,150,170.07 | 204.08
1738026247.1467192,150,150,170.07 | 204.08
1738026247.1639931,150,150,170.07 | 204.08
1738026247.1645212,150,150,170.07 | 204.08
1738026247.1799119,150,150,170.07 | 204.08
1738026247.1801846,150,150,170.07 | 204.08
1738026247.1968713,150,150,170.07 | 204.08
1738026247.1972995,150,150,170.07 | 204.08
1738026247.2132275,150,150,170.07 | 204.08
1738026247.2138107,150,150,170.07 | 204.08
1738026247.2299538,150,150,170.07 | 204.08
1738026247.2303338,150,150,170.07 | 204.08
1738026247.2466161,150,150,167.79 | 201.34
1738026247.2470613,150,150,167.79 | 201.34
1738026247.2632902,150,150,167.79 | 201.34
1738026247.2636533,150,150,167.79 | 201.34
1738026247.280023,150,150,167.79 | 201.34
1738026247.2805774,150,150,167.79 | 201.34
1738026247.2965612,150,150,167.79 | 201.34
1738026247.3132663,150,150,167.79 | 201.34
1738026247.313651,150,150,167.79 | 201.34
1738026247.3296802,150,150,167.79 | 201.34
1738026247.3300593,150,150,167.79 | 201.34
1738026247.346192,150,150,167.79 | 201.34
1738026247.3463964,150,150,167.79 | 201.34
1738026247.362946,150,150,167.79 | 201.34
1738026247.3631527,150,150,167.79 | 201.34
1738026247.3796332,150,150,167.79 | 201.34
1738026247.3799317,150,150,167.79 | 201.34
1738026247.3962533,150,150,166.67 | 166.67
1738026247.3964443,150,150,166.67 | 166.67
1738026247.4130278,150,150,166.67 | 166.67
1738026247.4132457,150,150,166.67 | 166.67
1738026247.429681,150,150,166.67 | 166.67
1738026247.4462059,150,150,166.67 | 166.67
1738026247.4468634,150,150,166.67 | 166.67
1738026247.462928,150,150,166.67 | 166.67
1738026247.463266,150,150,166.67 | 166.67
1738026247.479705,150,150,166.67 | 166.67
1738026247.4800978,150,150,166.67 | 166.67
1738026247.496245,150,150,166.67 | 166.67
1738026247.4966629,150,150,166.67 | 166.67
1738026247.513104,150,150,166.67 | 166.67
1738026247.5134997,150,150,166.67 | 166.67
1738026247.529799,150,150,166.67 | 166.67
1738026247.530197,150,150,171.23 | 171.23
1738026247.5463922,150,150,171.23 | 171.23
1738026247.5470471,150,150,171.23 | 171.23
1738026247.5630684,150,150,171.23 | 171.23
1738026247.5636868,150,150,171.23 | 171.23
1738026247.5798426,150,150,171.23 | 171.23
1738026247.5961869,150,150,171.23 | 171.23
1738026247.5968173,150,150,171.23 | 171.23
1738026247.612952,150,150,171.23 | 171.23
1738026247.6136303,150,150,171.23 | 171.23
1738026247.6296253,150,150,171.23 | 171.23
1738026247.6301796,150,150,171.23 | 171.23
1738026247.6463053,150,150,171.23 | 171.23
1738026247.6469283,150,150,171.23 | 171.23
1738026247.6631215,150,150,171.23 | 171.23
1738026247.663521,150,150,171.23 | 171.23
1738026247.6797578,150,150,171.23 | 171.23
1738026247.6803553,150,150,170.07 | 170.07
1738026247.6964698,150,150,170.07 | 170.07
1738026247.6971123,150,150,170.07 | 170.07
1738026247.7132337,150,150,170.07 | 170.07
1738026247.7295058,150,150,170.07 | 170.07
1738026247.7299955,150,150,170.07 | 170.07
1738026247.746232,150,150,170.07 | 170.07
1738026247.746642,150,150,170.07 | 170.07
1738026247.7629347,150,150,170.07 | 170.07
1738026247.7633507,150,150,170.07 | 170.07
1738026247.7797005,150,150,170.07 | 170.07
1738026247.7801335,150,150,170.07 | 170.07
1738026247.796347,150,150,170.07 | 170.07
1738026247.7967982,150,150,170.07 | 170.07
1738026247.813123,150,150,170.07 | 170.07
1738026247.813527,150,150,170.07 | 170.07
1738026247.8298168,150,150,142.86 | 142.86
1738026247.830187,150,150,142.86 | 142.86
1738026247.8465695,150,150,142.86 | 142.86
1738026247.8471773,150,150,142.86 | 142.86
1738026247.8632207,150,150,142.86 | 142.86
1738026247.879617,150,150,142.86 | 142.86
1738026247.8800635,150,150,142.86 | 142.86
1738026247.8963072,150,150,142.86 | 142.86
1738026247.8967528,150,150,142.86 | 142.86
1738026247.9130921,150,150,142.86 | 142.86
1738026247.9135864,150,150,142.86 | 142.86
1738026247.929712,150,150,142.86 | 142.86
1738026247.9301267,150,150,142.86 | 142.86
1738026247.9464645,150,150,142.86 | 142.86
1738026247.9469302,150,150,142.86 | 142.86
1738026247.963034,150,150,142.86 | 142.86
1738026247.9634812,150,150,173.61 | 173.61
1738026247.979816,150,150,173.61 | 173.61
1738026247.9804106,150,150,173.61 | 173.61
1738026247.996577,150,150,173.61 | 173.61
1738026248.0128586,150,150,173.61 | 173.61
1738026248.013299,150,150,173.61 | 173.61
1738026248.029516,150,150,173.61 | 173.61
1738026248.0298426,150,150,173.61 | 173.61
1738026248.0463216,150,150,173.61 | 173.61
1738026248.0467067,150,150,173.61 | 173.61
1738026248.062975,150,150,173.61 | 173.61
1738026248.0632725,150,150,173.61 | 173.61
1738026248.079633,150,150,173.61 | 173.61
1738026248.0799623,150,150,173.61 | 173.61
1738026248.096437,150,150,173.61 | 173.61
1738026248.0968564,150,150,173.61 | 173.61
1738026248.1129305,150,150,171.23 | 171.23
1738026248.113145,150,150,171.23 | 171.23
1738026248.1298554,150,150,171.23 | 171.23
1738026248.1302185,150,150,171.23 | 171.23
1738026248.1464276,150,150,171.23 | 171.23
1738026248.1629326,150,150,171.23 | 171.23
1738026248.1635878,150,150,171.23 | 171.23
1738026248.179715,150,150,171.23 | 171.23
1738026248.1801598,150,150,171.23 | 171.23
1738026248.1962798,150,150,171.23 | 171.23
1738026248.196544,150,150,171.23 | 171.23
1738026248.2129953,150,150,171.23 | 171.23
1738026248.2134771,150,150,171.23 | 171.23
1738026248.2297287,150,150,171.23 | 171.23
1738026248.2300785,150,150,171.23 | 171.23
1738026248.246318,150,150,171.23 | 171.23
1738026248.2467313,150,150,178.57 | 178.57
1738026248.2631633,150,150,178.57 | 178.57
1738026248.2634115,150,150,178.57 | 178.57
1738026248.2798567,150,150,178.57 | 178.57
1738026248.2962866,150,150,178.57 | 178.57
1738026248.2967198,150,150,178.57 | 178.57
1738026248.3133414,150,150,178.57 | 178.57
1738026248.3138833,150,150,178.57 | 178.57
1738026248.3298604,150,150,178.57 | 178.57
1738026248.3303854,150,150,178.57 | 178.57
1738026248.3465717,150,150,178.57 | 178.57
1738026248.3469136,150,150,178.57 | 178.57
1738026248.3631308,150,150,178.57 | 178.57
1738026248.3635375,150,150,178.57 | 178.57
1738026248.3798316,150,150,178.57 | 178.57
1738026248.3801103,150,150,178.57 | 178.57
1738026248.396444,150,150,178.57 | 178.57
1738026248.3967407,150,150,133.33 | 166.67
1738026248.413097,150,150,133.33 | 166.67
1738026248.4134917,150,150,133.33 | 166.67
1738026248.4299543,150,150,133.33 | 166.67
1738026248.4465005,150,150,133.33 | 166.67
1738026250.4894834,0,0,133.33 | 166.67
1738026250.490029,0,0,133.33 | 166.67
1738026250.490558,0,0,133.33 | 166.67
1738026250.4911056,0,0,133.33 | 166.67
1738026250.4918954,0,0,133.33 | 166.67
1738026250.4924514,0,0,133.33 | 166.67
1738026250.4929895,0,0,133.33 | 166.67
1738026250.493361,0,0,133.33 | 166.67
1738026250.4939175,0,0,133.33 | 166.67
1738026250.4942982,0,0,133.33 | 166.67
1738026250.4948137,0,0,133.33 | 166.67
1738026250.495358,0,0,133.33 | 166.67
1738026250.49587,0,0,170.07 | 170.07
1738026250.4963384,0,0,170.07 | 170.07
1738026250.496826,0,0,170.07 | 170.07
1738026250.497351,0,0,170.07 | 170.07
1738026250.498063,0,0,170.07 | 170.07
1738026250.4986994,0,0,170.07 | 170.07
1738026250.4993486,0,0,170.07 | 170.07
1738026250.5000427,0,0,170.07 | 170.07
1738026250.5006988,0,0,170.07 | 170.07
1738026250.5013766,0,0,170.07 | 170.07
1738026250.5020192,0,0,170.07 | 170.07
1738026250.5026746,0,0,170.07 | 170.07
1738026250.503356,0,0,170.07 | 170.07
1738026250.5040214,0,0,170.07 | 170.07
1738026250.5046792,0,0,170.07 | 170.07
1738026250.505321,0,0,170.07 | 170.07
1738026250.5059829,0,0,171.23 | 171.23
1738026250.5066812,0,0,171.23 | 171.23
1738026250.5073895,0,0,171.23 | 171.23
1738026250.5080917,0,0,171.23 | 171.23
1738026250.508824,0,0,171.23 | 171.23
1738026250.5094342,0,0,171.23 | 171.23
1738026250.509932,0,0,171.23 | 171.23
1738026250.5104103,0,0,171.23 | 171.23
1738026250.5109115,0,0,171.23 | 171.23
1738026250.5114255,0,0,171.23 | 171.23
1738026250.5119257,0,0,171.23 | 171.23
1738026250.5124478,0,0,171.23 | 171.23
1738026250.5129516,0,0,171.23 | 171.23
1738026250.5132277,0,0,171.23 | 171.23
1738026250.5137556,0,0,171.23 | 171.23
1738026250.51421,0,0,171.23 | 171.23
1738026250.5147517,0,0,171.23 | 171.23
1738026250.515262,0,0,172.41 | 172.41
1738026250.5157516,0,0,172.41 | 172.41
1738026250.5162215,0,0,172.41 | 172.41
1738026250.5167062,0,0,172.41 | 172.41
1738026250.5171733,0,0,172.41 | 172.41
1738026250.5176601,0,0,172.41 | 172.41
1738026250.5181265,0,0,172.41 | 172.41
1738026250.5185876,0,0,172.41 | 172.41
1738026250.5190673,0,0,172.41 | 172.41
1738026250.5195565,0,0,172.41 | 172.41
1738026250.5200412,0,0,172.41 | 172.41
1738026250.5205052,0,0,172.41 | 172.41
1738026250.521017,0,0,172.41 | 172.41
1738026250.5213897,0,0,172.41 | 172.41
1738026250.5217679,0,0,172.41 | 172.41
1738026250.5221174,0,0,172.41 | 172.41
1738026250.5224607,0,0,171.23 | 171.23
1738026250.5228457,0,0,171.23 | 171.23
1738026250.5232,0,0,171.23 | 171.23
1738026250.5235672,0,0,171.23 | 171.23
1738026250.5239134,0,0,171.23 | 171.23
1738026250.5242512,0,0,171.23 | 171.23
1738026250.5245705,0,0,171.23 | 171.23
1738026250.5249572,0,0,171.23 | 171.23
1738026250.5253112,0,0,171.23 | 171.23
1738026250.525692,0,0,171.23 | 171.23
1738026250.526095,0,0,171.23 | 171.23
1738026250.5264869,0,0,171.23 | 171.23
1738026250.5267932,0,0,171.23 | 171.23
1738026250.5270884,0,0,171.23 | 171.23
1738026250.5274844,0,0,171.23 | 171.23
1738026250.5278516,0,0,171.23 | 171.23
1738026250.5282292,0,0,171.23 | 171.23
1738026250.528581,0,0,136.05 | 170.07
1738026250.528947,0,0,136.05 | 170.07
1738026250.5293097,0,0,136.05 | 170.07
1738026250.5296917,0,0,136.05 | 170.07
1738026250.5300896,0,0,136.05 | 170.07
1738026250.5304804,0,0,136.05 | 170.07
1738026250.5307958,0,0,136.05 | 170.07
1738026250.5309896,0,0,136.05 | 170.07
1738026250.5312414,0,0,136.05 | 170.07
1738026250.5315197,0,0,136.05 | 170.07
1738026250.531854,0,0,136.05 | 170.07
1738026250.532228,0,0,136.05 | 170.07
1738026250.5326555,0,0,136.05 | 170.07
1738026250.5330586,0,0,136.05 | 170.07
1738026250.5334158,0,0,136.05 | 170.07
1738026250.533655,0,0,136.05 | 170.07
1738026250.5339909,0,0,136.05 | 170.07
1738026250.534316,0,0,198.68 | 165.56
1738026250.5346622,0,0,198.68 | 165.56
1738026250.534998,0,0,198.68 | 165.56
1738026250.535316,0,0,198.68 | 165.56
1738026250.5356596,0,0,198.68 | 165.56
1738026250.5359802,0,0,198.68 | 165.56
1738026250.5363076,0,0,198.68 | 165.56
1738026250.5366478,0,0,198.68 | 165.56
1738026250.536966,0,0,198.68 | 165.56
1738026250.5372756,0,0,198.68 | 165.56
1738026250.5376234,0,0,198.68 | 165.56
1738026250.5379605,0,0,198.68 | 165.56
1738026250.5382953,0,0,198.68 | 165.56
1738026250.538683,0,0,198.68 | 165.56
1738026250.5388951,0,0,198.68 | 165.56
1738026250.5391316,0,0,198.68 | 165.56
1738026250.539363,0,0,198.68 | 165.56
1738026250.539593,0,0,133.33 | 166.67
1738026250.5398335,0,0,133.33 | 166.67
1738026250.5400655,0,0,133.33 | 166.67
1738026250.5402942,0,0,133.33 | 166.67
1738026250.540523,0,0,133.33 | 166.67
1738026250.540769,0,0,133.33 | 166.67
1738026250.5409982,0,0,133.33 | 166.67
1738026250.541226,0,0,133.33 | 166.67
1738026250.541453,0,0,133.33 | 166.67
1738026250.5416977,0,0,133.33 | 166.67
1738026250.5419152,0,0,133.33 | 166.67
1738026250.5421515,0,0,133.33 | 166.67
1738026250.5423813,0,0,133.33 | 166.67
1738026250.5426204,0,0,133.33 | 166.67
1738026250.5428655,0,0,133.33 | 166.67
1738026250.5430946,0,0,133.33 | 166.67
1738026250.5433226,0,0,133.33 | 166.67
1738026250.54355,0,0,193.55 | 161.29
1738026250.5438113,0,0,193.55 | 161.29
1738026250.5440419,0,0,193.55 | 161.29
1738026250.5442717,0,0,193.55 | 161.29
1738026250.5444996,0,0,193.55 | 161.29
1738026250.5447438,0,0,193.55 | 161.29
1738026250.544963,0,0,193.55 | 161.29
1738026250.5451999,0,0,193.55 | 161.29
1738026250.5454366,0,0,193.55 | 161.29
1738026250.5456727,0,0,193.55 | 161.29
1738026250.5459118,0,0,193.55 | 161.29
1738026250.5461435,0,0,193.55 | 161.29
1738026250.5463653,0,0,193.55 | 161.29
1738026250.5466096,0,0,193.55 | 161.29
1738026250.546831,0,0,193.55 | 161.29
1738026250.5470514,0,0,193.55 | 161.29
1738026250.5472894,0,0,140.85 | 211.27
1738026250.547509,0,0,140.85 | 211.27
1738026250.5477405,0,0,140.85 | 211.27
1738026250.5479777,0,0,140.85 | 211.27
1738026250.5482147,0,0,140.85 | 211.27
