time,raw_x,raw_y,moving_avg_x,moving_avg_y,kalman_x,kalman_y
1726839647.3582177,792.3131103515625,19.978559494018555,798.0446166992188,18.783192825317382,790.6338752726765,20.090708749187506
1726839647.3953083,790.1618041992188,19.20416831970215,795.3594604492188,18.834440612792967,788.405313943078,20.146146594128165
1726839647.4266448,786.1104125976562,18.906173706054688,792.4708740234375,19.048052978515624,785.5908101668377,19.950412915242783
1726839647.4582415,782.9822998046875,19.761943817138672,789.2248046875,19.309093475341797,782.6988162145485,20.089356102990674
1726839647.4954612,782.699462890625,16.612192153930664,786.85341796875,18.892607498168946,780.9455970343304,18.796145379477757
1726839647.5263774,777.051513671875,19.697521209716797,783.8010986328125,18.836399841308594,777.7260114255873,19.12869357744717
1726839647.5580852,777.1689453125,18.175600051879883,781.2025268554687,18.63068618774414,775.8516454811743,18.734474250536174
1726839647.6259804,767.141845703125,20.52490234375,777.4088134765625,18.9544319152832,770.6552896014832,19.445759197880456
1726839647.7259285,760.8570556640625,19.919448852539062,772.9837646484375,18.985932922363283,764.6197266799604,19.713439348823865
1726839647.796317,754.4984130859375,18.558597564697266,767.3435546875,19.3752140045166,758.043347831604,19.311415660720087
1726839647.8259158,749.350341796875,18.189088821411133,761.8033203125,19.073527526855468,751.6934955824744,18.842459509475294
1726839647.8582199,754.1472778320312,21.49876594543457,757.1989868164062,19.738160705566408,749.8274771789897,19.908587418653678
1726839647.8953216,747.7750854492188,22.38544464111328,753.325634765625,20.110269165039064,746.5105648782264,21.06904268819153
1726839647.92602,746.9137573242188,18.68136978149414,750.5369750976563,19.86265335083008,744.3724124500111,20.304239750164896
1726839648.125904,728.7080078125,15.727461814880371,745.3788940429688,19.296426200866698,735.6813251686219,18.435441831188708
1726839648.1581557,726.8734741210938,16.63092041015625,740.8835205078125,18.984792518615723,729.1549649380199,17.4538487111691
1726839648.2595842,719.0052490234375,18.04720687866211,733.8551147460937,18.29448070526123,721.8138756178366,17.402609640046272
1726839648.3938894,708.2499389648438,19.626815795898438,725.9500854492187,17.74275493621826,712.7211821004115,18.113291771071797
1726839648.4265466,709.2230834960938,17.312366485595703,718.4119506835938,17.468954277038574,707.4248831475172,17.701234460232484
1726839648.4964814,703.5880126953125,17.0855655670166,713.3879516601562,17.74057502746582,702.1775430794792,17.326165312609575
1726839648.5579553,701.8988647460938,18.66895866394043,708.3930297851563,18.148182678222657,698.5930044761773,17.7572444909008
1726839648.6284957,699.3978271484375,17.20616340637207,704.4715454101563,17.979973983764648,695.8233125721049,17.481593763663458
1726839648.6581552,695.7952270507812,15.936076164245605,701.9806030273437,17.241826057434082,693.0831922046882,16.753964898073285
1726839648.928515,685.193603515625,11.933385848999023,697.17470703125,16.166029930114746,687.2943912535286,14.547366689160521
1726839648.9581294,679.3760986328125,11.972026824951172,692.33232421875,15.14332218170166,681.2680732668117,13.014178494621419
1726839649.0940676,694.08837890625,14.121748924255371,690.7702270507813,14.233880233764648,683.8485795781957,12.933711887360436
1726839649.127396,686.615234375,12.527043342590332,688.2137084960938,13.2980562210083,683.256584892159,12.337421908092198
1726839649.3285441,684.7008666992188,4.7687859535217285,685.9948364257813,11.064598178863525,682.4630842380723,8.71906815673784
1726839649.3581066,694.9215087890625,3.510878086090088,687.9404174804688,9.380096626281738,686.5884058567651,5.67973688862255
1726839649.3948615,684.52392578125,3.5906991958618164,688.9699829101562,7.7038311004638675,685.4381825889152,3.7327960704453305
1726839649.4607546,691.181396484375,4.340651988983154,688.3885864257812,5.747611713409424,687.5066055562588,2.916254131551403
1726839649.495418,681.9216918945312,0.010947057977318764,687.4498779296875,3.244392456486821,685.1569888394129,0.7600976905013873
1726839649.6258862,684.1575927734375,-5.650021553039551,687.3412231445312,1.1606309551745653,684.4082914840204,-2.9652535181830437
1726839649.6579285,680.99462890625,-8.22370433807373,684.5558471679688,-1.1862855296581984,682.6071252017539,-6.489335698228989
1726839649.6945796,671.877197265625,-8.640600204467773,682.0265014648437,-3.6325454097241163,677.5250601720923,-8.879508617515128
1726839649.8258696,688.4009399414062,-10.46130084991455,681.47041015625,-6.592935977503657,681.0153655182886,-11.002145324804134
1726839649.9578927,690.04150390625,-7.535380840301514,683.0943725585937,-8.102201557159423,684.5120537177551,-10.922147207224906
1726839649.9938796,685.35791015625,-16.570438385009766,683.3344360351563,-10.286284923553467,685.1268309300754,-14.350968963184865
1726839650.0259106,690.4862670898438,-10.492728233337402,685.232763671875,-10.740089702606202,687.683760468599,-13.979471388084566
1726839650.0965762,672.6561889648438,-23.265336990356445,685.3885620117187,-13.665037059783936,681.880881984578,-18.817610210249764
1726839650.1264522,683.0936889648438,-20.608123779296875,684.3271118164063,-15.6944016456604,681.9875018150324,-20.94877399051669
1726839650.1964474,683.4938354492188,-25.078731536865234,683.017578125,-19.203071784973144,682.3374577048122,-24.037195955237113
1726839650.2264652,683.2869262695312,-24.92644691467285,682.6033813476563,-20.87427349090576,682.5748867434837,-25.860678276070338
1726839650.2583163,682.7901611328125,-28.407882690429688,681.06416015625,-24.457304382324217,682.5768013095709,-28.28825620945947
1726839650.2934494,681.9906005859375,-26.8964786529541,682.9310424804687,-25.18353271484375,682.2611337260558,-29.055386341420444
1726839650.3260033,682.8927001953125,-29.494888305664062,682.8908447265625,-26.96088562011719,682.4337568397914,-30.36888618290661
1726839650.3582685,679.9840698242188,-34.04693603515625,682.1888916015625,-28.75452651977539,681.3466890129469,-32.96437819901268
1726839650.3941228,678.4970703125,-31.97210693359375,681.2309204101563,-30.16365852355957,679.9435802358382,-33.69203059244435
1726839650.4578612,672.6837768554688,-36.89657211303711,679.2096435546875,-31.861396408081056,676.5118782039516,-36.018014618142395
1726839650.4934466,674.0272827148438,-36.37223434448242,677.6169799804687,-33.75654754638672,674.6980936642402,-37.22741386541403
1726839650.5260677,674.0601806640625,-36.20223617553711,675.8504760742187,-35.09801712036133,673.5968303937301,-37.75912168411188
1726839650.5585682,677.0641479492188,-35.831844329833984,675.2664916992187,-35.45499877929687,674.289165458551,-37.740631352480314
1726839650.5949867,676.3252563476562,-41.94438934326172,674.83212890625,-37.44945526123047,674.6711513309298,-40.12187304162748
1726839650.7256458,676.3965454101562,-44.81613540649414,675.5746826171875,-39.03336791992187,675.0985671638383,-42.90695799468898
1726839650.758084,675.9003295898438,-42.20970153808594,675.9492919921875,-40.20086135864258,675.2728413996178,-43.60649923120857
1726839650.8258646,669.40234375,-42.97966003417969,675.017724609375,-41.5563461303711,672.6800435693365,-44.1861377557811
1726839650.858192,668.554931640625,-47.1561164855957,673.3158813476563,-43.82120056152344,670.4771298042198,-46.16430077772351
1726839650.8909488,668.1738891601562,-43.780426025390625,671.6856079101562,-44.18840789794922,668.8419778207186,-45.974527097766575
1726839650.9260762,666.52392578125,-46.03959655761719,669.711083984375,-44.43310012817383,667.1288769584642,-46.589732205097604
1726839650.9583862,665.2027587890625,-45.5446662902832,667.5715698242187,-45.100093078613284,665.5173844231477,-46.67434633791548
1726839651.0258634,666.3928833007812,-50.174015045166016,666.969677734375,-46.538964080810544,665.0622723864471,-48.56839680772804
1726839651.0583532,664.0497436523438,-46.81403732299805,666.0686401367187,-46.47054824829102,663.9478436662038,-48.40275078278729
1726839651.0908697,662.0474243164062,-45.36893844604492,664.8433471679688,-46.78825073242187,662.4671686955372,-47.52319330695202
1726839651.1603968,660.5928344726562,-50.678314208984375,663.65712890625,-47.71599426269531,660.9525542727603,-49.04163478609775
1726839651.258899,660.485107421875,-50.0121955871582,662.7135986328125,-48.609500122070315,659.9970028824728,-49.807620561042164
1726839651.2906082,660.572998046875,-52.48906326293945,661.5496215820312,-49.072509765625,659.5370578909864,-51.322330582503305
1726839651.326001,659.9775390625,-50.86808776855469,660.7351806640625,-49.88331985473633,659.1306581379547,-51.6301421153268
1726839651.3925092,657.641845703125,-50.16593551635742,659.8540649414062,-50.84271926879883,657.9955286228188,-51.42718583396078
1726839651.4259064,659.535888671875,-50.722373962402344,659.64267578125,-50.851531219482425,658.1092559418378,-51.41154266248498
1726839651.4924262,657.31591796875,-50.772056579589844,659.008837890625,-51.00350341796875,657.3846448850551,-51.34973189179924
1726839651.5603595,657.8231201171875,-50.790496826171875,658.4588623046875,-50.66379013061523,657.1759363426585,-51.260052170883796
